AveCarelessness,AveCorrect,AveKnow,AveResBored,AveResConf,AveResEngcon,AveResFrust,AveResGaming,AveResOfftask,ITEST_id,Ln,Ln-1,NumActions,RES_BORED,RES_CONCENTRATING,RES_CONFUSED,RES_FRUSTRATED,RES_GAMING,RES_OFFTASK,attemptCount,bottomHint,consecutiveErrorsInRow,correct,endsWithAutoScaffolding,endsWithScaffolding,frIsHelpRequest,frIsHelpRequestScaffolding,frPast5HelpRequest,frPast5WrongCount,frPast8HelpRequest,frPast8WrongCount,frTimeTakenOnScaffolding,frTotalSkillOpportunitiesScaffolding,frWorkingInSchool,helpAccessUnder2Sec,hint,hintCount,hintTotal,manywrong,original,past8BottomOut,responseIsChosen,responseIsFillIn,scaffold,stlHintUsed,sumTimePerSkill,timeGreater10SecAndNextActionRight,timeGreater5Secprev2wrong,timeOver80,timeSinceSkill,timeTaken,totalFrAttempted,totalFrPastWrongCount,totalFrPercentPastWrong,totalFrSkillOpportunities,totalFrSkillOpportunitiesByScaffolding,totalFrTimeOnSkill,totalTimeByPercentCorrectForskill,MCAS,isSTEM
0.099733995,0.438492063,0.185137588,0.277149083,0.098078229,0.644744405,0.162770504,0.005554028,0.213377961,9,0.185137588,0.202634526,504,0.277149083,0.644744405,0.098078229,0.162770504,0.005554028,0.213377961,2.06547619,0.027777778,0.18452381,0.438492063,0,0.71031746,0.357142857,0.718253968,1.718253968,0.68452381,2.232142857,0.831349206,41.4345238,2.543650794,1,0,0.212301587,0.66468254,1.041666667,0.591269841,0.244047619,0.041666667,0,0,0.545634921,0,528.0654763,0.331349206,0.109126984,0.138888889,574204.3889,42.49404762,127.6468254,1.234126984,0.236869424,5.26984127,0.883345459,311.4543651,1639.285807,32,1
0.069297361,0.348837209,0.14203118,0.330226231,0.122657966,0.551366771,0.095420442,0.036900055,0.348089701,27,0.14203118,0.140263616,129,0.330226231,0.551366771,0.122657966,0.095420442,0.036900055,0.348089701,2.457364341,0.07751938,0.209302326,0.348837209,0,0.488372093,0.279069767,0.643410853,1.604651163,0.627906977,1.875968992,0.88372093,123.1007752,1.682170543,1,0,0.294573643,1.085271318,1.713178295,0.744186047,0.201550388,0.263565891,0,0,0.372093023,0,1250.4031,0.310077519,0.139534884,0.271317829,125170.7519,92.45736434,33.33333333,1.519379845,0.315727749,2.534883721,0.819767453,823.9534884,5476.928203,21,0
0.202787469,0.686390533,0.459813486,0.260426191,0.059971193,0.650768677,0.06183416,0.010953873,0.296286221,33,0.459813486,0.406908613,169,0.260426191,0.650768677,0.059971193,0.06183416,0.010953873,0.296286221,1.49112426,0.00591716,0.195266272,0.686390533,0,0.568047337,0.396449704,0.568047337,0.982248521,0.627218935,1.171597633,0.721893491,32.68639054,1.50295858,1,0,0.041420118,0.112426036,0.24852071,0.213017751,0.396449704,0.00591716,0,0,0.526627219,0,583.8165682,0.573964497,0.059171598,0.266272189,364781.8343,71.52662723,67.89349112,1.071005917,0.276733892,5.165680473,0.776645151,457.4497041,1219.960157,52,0
0.158848225,0.379657603,0.2551641,0.222795806,0.069987405,0.650079058,0.164347459,0.236799637,0.153146586,35,0.2551641,0.313535351,993,0.222795806,0.650079058,0.069987405,0.164347459,0.236799637,0.153146586,3.465256798,0.062437059,1.084592145,0.379657603,0,0.570996979,0.254783484,0.637462236,1.720040282,0.655589124,2.220543807,0.864048338,19.42799598,2.916414904,1,0.083585096,0.33836858,1.249748238,1.96878147,0.680765358,0.319234642,0.173212487,0,0.09264854,0.318227593,0,393.4602215,0.201409869,0.023162135,0.074521652,574823.4572,24.6958711,242.8348439,1.472306143,0.181879515,6.653575025,1.072311516,265.9154079,1415.986635,34,0
0.046183228,0.305785124,0.071909241,0.326383714,0.125324702,0.653444643,0.094714277,0.016241102,0.45146704,37,0.071909241,0.107569988,121,0.326383714,0.653444643,0.125324702,0.094714277,0.016241102,0.45146704,2.462809917,0.05785124,0.148760331,0.305785124,0,0.851239669,0.371900826,0.859504132,1.776859504,0.181818182,2.173553719,0.314049587,67,2.016528926,1,0,0.371900826,1.074380165,1.58677686,0.842975207,0.115702479,0.123966942,0,0,0.578512397,0,634.4132231,0.280991736,0.099173554,0.198347107,95886.63636,63.53719008,23.32231405,0.347107438,0.103877987,3.595041322,1.000118064,336.0909091,2499.205293,-999,0
0.184292185,0.575250836,0.333401908,0.262823322,0.079203998,0.652414167,0.137098979,0.00966896,0.24949786,41,0.333401908,0.349902795,299,0.262823322,0.652414167,0.079203998,0.137098979,0.00966896,0.24949786,1.662207358,0,0.110367893,0.575250836,0,0.545150502,0.394648829,0.545150502,1.454849498,0.47826087,1.826086957,0.62541806,17.97324414,2.013377926,1,0,0.147157191,0.344481605,0.548494983,0.381270903,0.43812709,0,0,0,0.484949833,0,462.3578594,0.474916388,0.063545151,0.173913043,634377.388,45.71571906,96.61538462,1.224080268,0.14990927,6.277591973,0.775357911,336.8428094,824.8779136,44,0
0.094195371,0.413249211,0.191948307,0.261455246,0.063971248,0.638636026,0.129858195,0.045096384,0.234331233,77,0.191948307,0.192173121,317,0.261455246,0.638636026,0.063971248,0.129858195,0.045096384,0.234331233,3.119873817,0.031545741,0.025236593,0.413249211,0,0.605678233,0.268138801,0.630914826,1.52681388,0.305993691,1.741324921,0.365930599,30.25552052,1.255520505,1,0.022082019,0.309148265,1.514195584,2.668769716,0.58044164,0.34384858,0.069400631,0,0.107255521,0.34384858,0.015772871,376.1545741,0.318611987,0.018927445,0.167192429,387303.9338,40.82018928,83.36908517,0.460567823,0.11442633,3.012618297,0.622790549,220.2523659,2144.277332,39,0
0.198341627,0.769565217,0.519110927,0.227044359,0.072612801,0.664749135,0.039176787,0.005256235,0.195070483,87,0.519110927,0.427701622,230,0.227044359,0.664749135,0.072612801,0.039176787,0.005256235,0.195070483,1.247826087,0,0.060869565,0.769565217,0,0.391304348,0.295652174,0.386956522,0.882608696,0.369565217,1.147826087,0.434782609,17.66521739,0.926086957,1,0,0.02173913,0.07826087,0.117391304,0.117391304,0.608695652,0,0,0,0.373913043,0,291.5130434,0.704347826,0.043478261,0.17826087,857168.4174,54.77391304,98.95217391,0.695652174,0.187461311,3.560869565,0.480039997,216.6304348,417.23987,49,0
0.085295516,0.396551724,0.142241662,0.267311879,0.094736805,0.646790224,0.199609409,0.074046898,0.211144367,114,0.142241662,0.175239101,348,0.267311879,0.646790224,0.094736805,0.199609409,0.074046898,0.211144367,2.272988506,0.063218391,0.149425287,0.396551724,0,0.451149425,0.221264368,0.545977011,1.474137931,0.956896552,1.91091954,1.359195402,48.97988504,3.681034483,0.83045977,0.002873563,0.301724138,0.893678161,1.425287356,0.672413793,0.347701149,0.181034483,0,0,0.281609195,0,1236.267241,0.244252874,0.063218391,0.114942529,401253.8017,46.07471265,84.84195402,4.201149425,0.267557253,11.76149425,0.842961563,851.6235632,3564.364183,28,0
0.111159403,0.5,0.250838364,0.273188488,0.104601634,0.646944495,0.131631829,0.040233379,0.230005112,126,0.250838364,0.242089852,406,0.273188488,0.646944495,0.104601634,0.131631829,0.040233379,0.230005112,2.061576355,0.022167488,0.056650246,0.5,0,0.615763547,0.325123153,0.630541872,1.97044335,0.679802956,2.534482759,0.891625616,24.40886699,3.672413793,1,0.027093596,0.147783251,0.551724138,1.044334975,0.514778325,0.312807882,0.04679803,0,0.204433498,0.472906404,0.009852217,754.5295566,0.384236453,0.02955665,0.167487685,530835.9754,46.13793103,124.0320197,2.10591133,0.231846125,7.830049261,1.036631627,526.7216749,1878.974746,30,0
